"type","title","cookingTime","preparationTime","reposTime","totalTime","note","prix","difficulty","nbPerson","nutriScore","Vegetarien","Vegan","etapes","ingredients"
"Entrée","Soupe à l'oignon","20 min","25 min","0 min","45 min","4.7","bon marché","facile","4","c","true","true","Pelez et émincez les oignons. || Faites-les revenir dans le mélange beurre et huile jusqu'à ce qu'ils soient tendres et légèrement dorés. || Saupoudrez le mélange de farine, mouillez d'eau chaude et de vin blanc et assaisonnez. || Couvrez et laissez bouillonner doucement pendant 20 minutes. || Faites grillez le pain. || Disposez chaque tranche dans le fond de 4 petits bols individuels supportant le passage au four. || Saupoudrez d'un peu de fromage râpé. Versez la soupe par-dessus. || Saupoudrez à nouveau de fromage et faites gratiner.","oignon 4 || beurre 50 g || huile 1 cuillère à soupe || farine 1 cuillère à soupe || eau 1 l || pain de mie 6 tranche || comté 100 g || sel || poivre || vin blanc 25 cl"
"Entrée","Oeufs mollets de ma grand-mère","6 min","2 min","0 min","8 min","4.8","bon marché","facile","1","d","true","true","Faire bouillir dans une casserole de l'eau salée ou citronnée. || ||  les œufs à température ambiante 1/2 h avant afin d’éviter la fêlure de la coquille avec l'eau chaude. || Déposer délicatement l’œuf dans l'eau frémissante et laisser 5 à 6 min. || Le retourner une ou deux fois de façon à avoir une cuisson homogène. || Retirer l’œuf de l'eau, le casser dans une assiette et apprécier avec une pointe de sel et quelques mouillettes de pain de campagne avec du beurre demi-sel. || Vous pouvez le servir en plat avec une bonne salade verte, des lardons et quelques tomates cerises. || Bon appétit.","sel || oeuf 1 || oeuf || pain de campagne || beurre demi-sel"
"Entrée","Velouté de butternut à la cannelle","15 min","20 min","0 min","35 min","4.9","bon marché","facile","4","c","false","false","Couper le butternut en gros cubes.  || Couper grossièrement l'oignon. || Faire revenir l'oignon et le butternut dans un fond de beurre. Remuer régulièrement (il ne faut pas que l'oignon roussisse). Une fois que les légumes sont bien revenus, émietter un cube de bouillon au-dessus.  || Bien remuer pour laisser les légumes s'imprégner du bouillon. || Recouvrir d'eau bouillante, juste au-dessus des légumes. || Laisser cuire jusque que le butternut soit cuit (planter un couteau pour vérifier la cuisson). || Mixer. Ajouter une ou deux cuillères de crème fraiche. Saler et poivrer. || Ajouter un soupçon de cannelle. || C'est prêt et c'est délicieux !","oignon 1 || crème fraîche 1 cuillère à soupe || butternut 1 || cube de bouillon 1 || cannelle 1 pincée"
"Entrée","Soupe veloutée de potimarron et pommes de terre","30 min","15 min","0 min","45 min","4.9","bon marché","très facile","4","c","false","false","Enlever l'écorce et les pépins du potimarron (il n'est pas obligatoire de le peler, mais dans ce cas, le choisir bio et bien le laver) puis couper la chair en gros morceaux. || Eplucher les pommes de terre puis les couper en gros morceaux. || Faire revenir les oignons et l'ail hachés dans un peu de beurre à feu doux. || Ajouter les pommes de terre et le potimarron, faire revenir 5 min. || Couvrir le tout d'eau, ajouter le bouillon de poule (émietté), le curry, la muscade, la feuille de laurier et laisser mijoter environ 30 min à feu doux. || Lorsque les légumes sont cuits (vérifier à l'aide d'un couteau), mixer votre préparation. || Vérifier l'assaisonnement, saler, poivrer selon votre goût puis ajouter la crème fraîche et laisser mijoter encore 2 ou 3 min. Bon appétit !","oignon 2 || crème fraîche 10 cl || curry 1 cuillère à café || feuille de laurier 1 || sel || poivre || potimarron 1 || pomme de terre 2 || ail 3 gousse || muscade 1 pincée || cube de bouillon 1"
"Plat principal","Sushi californien (maki inversé)","15 min","20 min","0 min","35 min","4.8","moyen","moyenne","4","c","false","false","Rincer le riz à l'eau froide jusqu'à ce que l'eau qui s'écoule soit claire. ||  égoutter. || Faire cuire le riz dans 15 cl d'eau : porter à ébullition 2 minutes et laisser gonfler 10 minutes à petit feu couvert. ||  refroidir. || Faire bouillir le vinaigre de riz avec le sucre et le sel. ||  refroidir. Incorporer l'assaisonnement au riz. || Emincer en fines et longues lamelles le concombre et l'avocat. || Etaler 1 cm de riz sur chacune des feuilles de nori. || Saupoudrer de graines de sésame. || Retourner la feuille de nori (pour que le riz se retrouve à l'extérieur du rouleau) et étaler un peu wasabi. || Garnir avec le concombre, l'avocat et le crabe, puis rouler pour former le rouleau (plus facile si vous poséder un makisu : natte de bambou à rouler). || Couper chaque rouleau en 8.","sésame || sucre en poudre 1 cuillère à soupe || vinaigre de riz 1 cuillère à soupe || sel 0.5 cuillère à café || avocat 0.5 || concombre 0.25 || crabe 1 boîte || feuille de nori 2 || riz rond 125 g || wasabi || sauce soja"
"Entrée","Oeufs mimosa","10 min","25 min","0 min","35 min","4.6","bon marché","facile","4","d","true","true","Faire cuire les oeufs 10 mn dans l'eau bouillante, puis les mettre dans l'eau froide pour arrêter la cuisson. || Monter une mayonnaise avec 1 jaune d'oeuf, 1 cuillère à café de moutarde, 1/4 l d'huile et du jus de citron (facultatif), ou utiliser une mayonnaise prête vendue dans le commerce. Le jus de citron s'ajoute au dernier moment. || Ecaler les oeufs, les couper dans le sens de la longueur, puis séparer les blancs des jaunes. || Dans une assiette creuse, émietter les jaunes à la fourchette, mélanger la moitié de ces jaunes émiettés avec la mayonnaise et réserver le reste. || Remplir les demi-blancs de cette préparation, puis saupoudrer chaque demi-oeuf du reste de jaunes émiettés (ce qui fait le mimosa !!).  || Disposer les oeufs sur des feuilles de laitue, mettre sur chaque oeuf un peu de persil et une olive noire. Servir frais.","poivre || sel"
"Entrée","Samoussa rapide au boeuf","15 min","15 min","0 min","30 min","4.8","bon marché","facile","10","d","false","false","Dans une poêle à feu vif, faire revenir l'oignon, l'ail et la carotte hachés dans de l'huile d'olive. || Ajouter la viande de bœuf et laisser dorer un peu. || Assaisonner avec le curry, le gingembre puis ajouter la sauce soja. Bien mélanger et laisser cuire à feu doux 2 à 3 min. || Répartir la farce dans les feuilles de brick (2 samoussas par feuille) et procéder au pliage (souvent expliqué sur les paquets de feuilles de brick).  || Coller le dernier revers avec un jaune d'œuf. || Faire cuire dans un fond d'huile de friture, 2 min de chaque côté. || En fin de cuisson, déposer les samoussas sur une assiette avec du papier absorbant afin de retirer l'excès d'huile de cuisson. Bon appétit !","carotte 1 || oignon 1 || curry 2 cuillère à café || gingembre 1 cuillère à café || huile d'olive || huile de friture || brick 5 feuille || boeuf haché 250 g || ail 1 gousse || sauce soja 5 cuillère à soupe || jaune d'oeuf 1"
"Entrée","Oeufs cocottes","10 min","5 min","0 min","15 min","4.7","bon marché","très facile","1","e","false","false","Préchauffer le four à 180°C (thermostat 6). Pendant ce temps beurrer un ramequin. Couper la tranche de jambon en 2 puis déposer les 2 morceaux dans le ramquin. || Y ajouter l'oeuf. || Recouvrir de crème fraîche. || Saler, poivrer. || Parsemer de gruyère pour terminer. || Enfourner et surveiller la cuisson.","crème fraîche || poivre || sel || gruyère râpé || oeuf 1 || jambon 1 tranche"
"Entrée","Tarte à l'oignon rapide","30 min","15 min","0 min","45 min","4.8","bon marché","très facile","5","c","true","true","Faire suer les oignons émincés finement dans une poêle avec de l'huile, saler et poivrer. || Battre les oeufs avec la crème fraîche. || Lorsque les oignons ont blondi, ajouter hors du feu le mélange oeufs/crème. || Verser le tout sur la pâte brisée étalée dans un moule, faire cuire 30 min au four à 200°C (thermostat 6-7).","pâte brisée 1 || oignon 5 || poivre || sel || crème fraîche 20 cl || oeuf 2"
"Plat principal","Saumon Gravlax : recette facile","0 min","15 min","0 min","15 min","4.8","moyen","facile","6","d","false","false","Retirer les arêtes éventuelles à l'aide d'une pince à épiler. || Essuyer le saumon avec du papier absorbant. || Enduire le poisson du mélange sel + sucre + poivre. || Dans un grand plat, mettre une grande feuille de film transparent. Poser le saumon coté peau en dessous, mettre de l'aneth sur le coté sans peau (s'il y a 2 pavés, les empiler l'un sur l'autre en remettant de l’aneth au dessus). Fermer la « papillote » bien serrée. || Poser un poids lourd sur le saumon (boite de pois chiches ou autre). ||  mariner 48 h au frigo, en retournant le poisson tous les jours (jeter l’eau rendue). || Le jour j, essuyer le saumon avec du papier absorbant pour ôter le sel (ne pas le rincer sous l’eau!) puis découper le saumon en fines lamelles (comme un carpaccio). || Déguster nature avec du citron ou bien une sauce appropriée. || Lorsque je ne fais pas de sauce, je rajoute de l’aneth sur le poisson une fois qu’il est en lamelles. || Sauce : faire une mayonnaise avec... || - 3-4 cuillères à soupe de moutarde douce || - 1 cuillère à soupe de vin rouge || - 1 cuillère à soupe de sucre en poudre || - 1/3 cuillère à café de sel || - 3 cuillères à soupe d’huile (excepté l’huile d’olive) || Une fois la sauce faite, incorporer 3 cuillères à soupe d’aneth.","sel 6 cuillère à soupe || sucre 4 cuillère à soupe || aneth 50 g || poivre 20 g || saumon frais 1 kg"
"Entrée","Velouté de chou- fleur","20 min","15 min","0 min","35 min","4.7","bon marché","très facile","6","c","false","false","Détailler le chou-fleur.  || Mettre dans une casserole, le chou-fleur découpé (""en fleurs""), les pommes de terre, le bouillon cube, 750 ml d'eau, l'origan et le sel.  || Faire cuire jusqu'à ce que le tout soit cuit (piquer avec un couteau, qui doit rentrer facilement).  || Mixer le tout avec le beurre et la crème fraîche.  || Assaisonner avec du sel et du poivre.  || Bon appétit !","eau 750 ml || origan || poivre || sel || beurre 50 g || crème fraîche 2 cuillère à soupe || chou-fleur 1 || pomme de terre 2 || bouillon de volaille 1"
"Plat principal","Noix de St Jacques à la crème","5 min","10 min","0 min","15 min","4.7","moyen","moyenne","4","d","false","false","Faire revenir les noix de St Jacques salées, poivrées 1 à 2 minutes de chaque côtés. || Pendant ce temps, chauffer la crème fraîche avec du curry dedans. || Ajouter la crème-curry aux noix de St Jacques et laisser 1 à 2 minutes. || Servir avec des tagliatelles fraîches ou des spaghetti frais.","curry 1 cuillère à café || sel || poivre || noix de saint-jacques 20 || crème 15 cl"
"Entrée","Artichaut nature (au micro-onde)","10 min","5 min","0 min","15 min","4.6","bon marché","très facile","1","a","true","true","Couper la queue de l’artichaut à ras ou à 3 cm (tout dépend si vous souhaitez manger la queue !).  || Laver l’artichaut à l’eau. || Le baigner rapidement dans un saladier rempli d’eau vinaigrée. Rincer à nouveau à l’eau claire. || Egoutter l’artichaut puis l’envelopper dans du film plastique passant au micro-onde (l’artichaut doit être emballé bien hermétiquement). || Peser l’artichaut (ou les artichauts). || Déposer l’artichaut emmailloté sur une assiette. Mettre au micro-onde à 1000 W et faire cuire 1 minute pour 100 g.   || Désenvelopper l’artichaut et laisser refroidir avant de déguster avec une vinaigrette. || Exemples : || 1 artichaut de 500 g => 5 min au micro-onde à 1000 W. || 2 artichauts de 800 g au total => 8 min au micro-onde à 1000 W.","artichaut 1"
"Entrée","Comment préparer le radis noir","0 min","5 min","0 min","5 min","4.7","moyen","facile","4","d","true","true","Le radis noir peut se servir en salade, pelé et râpé ou coupé en rondelles. || La sauce au fromage blanc lui convient très bien. || On l'utilise également pour relever une purée de pommes de terre, ou en accompagnement de poisson cru (sushis, sashimis, makis...). || Les rondelles de radis noir peuvent servir de support pour faire des toasts ou des bouchées (avec une lamelle de saumon fumé ou de poisson cru par exemple, ou un morceau de fromage à pâte pressée). || Dans tous les cas, il est préférable de le laisser mariner 1 h couvert de gros sel, puis le rincer avant de l'utiliser.","sel || fromage blanc || vinaigre || huile || poivre || radis"